source,outcome_pair,reference,primary,predictor,coverage_k,gallery_K,outcome_mean,uniform_order_expectation
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,13,17,0.6894230769230768,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,14,17,0.6686383928571429,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,15,17,0.6597708333333333,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,16,17,0.651328125,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,T,17,17,0.648952205882353,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,1,17,1.0,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,2,17,0.97140625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,3,17,0.9642708333333333,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,4,17,0.9518749999999999,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,5,17,0.9455,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,6,17,0.9405208333333334,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,7,17,0.8790624999999999,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,8,17,0.8319921875,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,9,17,0.7978472222222223,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,10,17,0.7644062500000001,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,11,17,0.7408806818181819,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,12,17,0.7197656250000001,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,13,17,0.6942067307692308,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,14,17,0.6753683035714285,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,15,17,0.6590416666666667,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,16,17,0.651328125,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,G,17,17,0.648952205882353,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,1,17,1.0,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,2,17,0.97140625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,3,17,0.9642708333333333,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,4,17,0.9518749999999999,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,5,17,0.944625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,6,17,0.9405208333333333,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,7,17,0.8790624999999999,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,8,17,0.8176171875,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,9,17,0.778263888888889,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,10,17,0.7510000000000001,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,11,17,0.7270454545454546,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,12,17,0.7083333333333334,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,13,17,0.6894230769230769,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,14,17,0.6686383928571429,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,15,17,0.6597708333333333,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,16,17,0.651328125,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,T,17,17,0.648952205882353,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,1,17,1.0,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,2,17,0.97140625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,3,17,0.9642708333333333,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,4,17,0.9518749999999999,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,5,17,0.944625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,6,17,0.9405208333333333,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,7,17,0.8790624999999999,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,8,17,0.8319921875,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,9,17,0.7910416666666668,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,10,17,0.76440625,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,11,17,0.7408806818181819,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,12,17,0.7197656250000001,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,13,17,0.6942067307692308,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,14,17,0.6730803571428572,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,15,17,0.6590416666666667,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,16,17,0.651328125,0.648952205882353
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,G,17,17,0.648952205882353,0.648952205882353
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,1,17,0.9996875,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,2,17,0.974375,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,3,17,0.9500000000000001,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,4,17,0.9496093750000001,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,5,17,0.9261250000000001,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,6,17,0.9235416666666666,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,7,17,0.8475446428571428,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,8,17,0.8061328125000001,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,9,17,0.7685763888888889,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,10,17,0.748,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,11,17,0.7279545454545455,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,12,17,0.7039583333333334,0.6385661764705881
